OKC,OKC vs. DAL,01/08/2023,W,240,120,46,95,48.4,12,28,42.9,16,20,80.0,13,35,48,27,5,8,8,26,11
MIA,MIA vs. BKN,01/08/2023,L,240,101,38,92,41.3,13,35,37.1,12,17,70.6,16,25,41,22,8,4,12,17,-1
DAL,DAL vs. NOP,01/07/2023,W,240,127,42,74,56.8,13,29,44.8,30,38,78.9,5,34,39,23,5,7,17,24,10
NOP,NOP @ DAL,01/07/2023,L,240,117,45,94,47.9,5,29,17.2,22,35,62.9,15,29,44,26,14,4,13,25,-10
SAC,SAC vs. LAL,01/07/2023,L,240,134,45,86,52.3,14,32,43.8,30,37,81.1,13,21,34,25,5,4,14,26,-2
LAL,LAL @ SAC,01/07/2023,W,240,136,50,82,61.0,9,21,42.9,27,33,81.8,10,28,38,26,4,3,17,25,2
CHI,CHI vs. UTA,01/07/2023,W,240,126,44,83,53.0,13,28,46.4,25,32,78.1,7,37,44,22,4,4,10,22,8
UTA,UTA @ CHI,01/07/2023,L,240,118,46,93,49.5,12,41,29.3,14,18,77.8,7,32,39,36,6,2,10,24,-8
SAS,SAS vs. BOS,01/07/2023,L,240,116,49,100,49.0,7,25,28.0,11,14,78.6,12,39,51,25,6,3,13,20,-5
BOS,BOS @ SAS,01/07/2023,W,240,121,47,95,49.5,15,34,44.1,12,18,66.7,8,35,43,30,6,10,14,15,5
ORL,ORL @ GSW,01/07/2023,W,240,115,44,87,50.6,13,32,40.6,14,24,58.3,7,37,44,26,12,2,11,14,14
GSW,GSW vs. ORL,01/07/2023,L,240,101,33,88,37.5,18,58,31.0,17,21,81.0,11,38,49,26,7,1,16,17,-14
SAS,SAS vs. DET,01/06/2023,W,240,121,45,81,55.6,9,24,37.5,22,26,84.6,7,37,44,27,8,4,18,16,12
NYK,NYK @ TOR,01/06/2023,W,240,112,39,83,47.0,16,37,43.2,18,26,69.2,13,38,51,19,3,4,13,23,4
TOR,TOR vs. NYK,01/06/2023,L,240,108,35,83,42.2,10,29,34.5,28,35,80.0,12,34,46,22,7,3,7,23,-4
LAL,LAL vs. ATL,01/06/2023,W,240,130,51,93,54.8,16,35,45.7,12,16,75.0,7,44,51,33,6,5,18,18,16
CHI,CHI @ PHI,01/06/2023,W,240,126,48,84,57.1,20,34,58.8,10,17,58.8,8,37,45,33,3,4,12,14,14
PHI,PHI vs. CHI,01/06/2023,L,240,112,40,92,43.5,18,41,43.9,14,18,77.8,12,26,38,28,6,3,7,15,-14
ATL,ATL @ LAL,01/06/2023,L,240,114,44,96,45.8,9,31,29.0,17,22,77.3,7,32,39,24,8,5,12,15,-16
OKC,OKC vs. WAS,01/06/2023,W,240,127,50,98,51.0,17,37,45.9,10,14,71.4,11,30,41,30,9,6,10,26,17
WAS,WAS @ OKC,01/06/2023,L,240,110,38,79,48.1,7,24,29.2,27,36,75.0,11,35,46,21,6,2,20,18,-17
NOP,NOP vs. BKN,01/06/2023,L,240,102,35,88,39.8,12,29,41.4,20,25,80.0,14,37,51,16,7,4,16,20,-6
BKN,BKN @ NOP,01/06/2023,W,240,108,37,85,43.5,15,33,45.5,19,20,95.0,10,33,43,26,8,12,13,23,6
DET,DET @ SAS,01/06/2023,L,240,109,44,93,47.3,11,31,35.5,10,17,58.8,15,22,37,23,11,0,16,22,-12
MIA,MIA @ PHX,01/06/2023,W,240,104,33,78,42.3,12,38,31.6,26,31,83.9,5,32,37,19,10,3,13,14,8
POR,POR @ IND,01/06/2023,L,240,99,38,94,40.4,9,33,27.3,14,17,82.4,12,40,52,30,5,1,18,19,-9
IND,IND vs. POR,01/06/2023,W,240,108,38,84,45.2,7,25,28.0,25,28,89.3,4,37,41,22,11,6,14,22,9
PHX,PHX vs. MIA,01/06/2023,L,240,96,34,82,41.5,6,23,26.1,22,25,88.0,8,36,44,22,5,2,14,20,-8
MIL,MIL vs. CHA,01/06/2023,L,240,109,37,84,44.0,20,48,41.7,15,24,62.5,12,33,45,22,5,4,17,18,-29
CHA,CHA @ MIL,01/06/2023,W,240,138,53,102,52.0,20,48,41.7,12,19,63.2,13,36,49,32,11,3,5,17,29
CLE,CLE @ DEN,01/06/2023,L,240,108,40,88,45.5,10,26,38.5,18,32,56.3,18,22,40,30,7,5,7,18,-13
